Filename,Category,Source,File_Size_KB,Upload_Status,Download_Date
cinematic_impacts_039.wav,Cinematic_Impacts,Synthesized (Royalty-Free),301.5,Uploaded,2026-05-24
cinematic_impacts_040.wav,Cinematic_Impacts,Synthesized (Royalty-Free),189.5,Uploaded,2026-05-24
cinematic_impacts_041.wav,Cinematic_Impacts,Synthesized (Royalty-Free),258.4,Uploaded,2026-05-24
cinematic_impacts_042.wav,Cinematic_Impacts,Synthesized (Royalty-Free),215.4,Uploaded,2026-05-24
cinematic_impacts_043.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
cinematic_impacts_044.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_045.wav,Cinematic_Impacts,Synthesized (Royalty-Free),344.6,Uploaded,2026-05-24
cinematic_impacts_046.wav,Cinematic_Impacts,Synthesized (Royalty-Free),86.2,Uploaded,2026-05-24
cinematic_impacts_047.wav,Cinematic_Impacts,Synthesized (Royalty-Free),172.3,Uploaded,2026-05-24
cinematic_impacts_048.wav,Cinematic_Impacts,Synthesized (Royalty-Free),129.2,Uploaded,2026-05-24
cinematic_impacts_049.wav,Cinematic_Impacts,Synthesized (Royalty-Free),301.5,Uploaded,2026-05-24
cinematic_impacts_050.wav,Cinematic_Impacts,Synthesized (Royalty-Free),189.5,Uploaded,2026-05-24
